TECNOLOGIA,IDADE,DATA_DE_ADESAO,LIGACOES_SUPORTE_ULTIMO_ANO,MEDIA_FATURA_MEDIA,TAXA_DE_CHURN
4G,24,4/12/13 11:27,1,71,0.014
TELEFONE_MOVEL,13,4/11/11 11:27,1,66,0.018
TELEFONE_FIXO,52,5/25/15 11:27,0,17,0.002
TELEFONE_MOVEL,69,12/15/12 12:27,7,93,0.033
FIBRA,67,3/31/15 11:27,2,78,0.007
TELEFONE_MOVEL,45,5/8/13 11:27,1,23,0.029
FIBRA,10,5/4/13 11:27,7,12,0.44
TELEFONE_FIXO,41,12/26/13 12:27,1,66,0.004
TELEFONE_MOVEL,54,10/6/14 11:27,0,69,0.002
TELEFONE_MOVEL,70,5/7/14 11:27,1,75,0.005
4G,1,6/6/13 11:27,1,71,0.013
TELEFONE_MOVEL,59,1/1/13 12:27,1,51,0.015
4G,16,3/13/15 12:27,0,106,0.001
TELEFONE_MOVEL,25,12/22/11 12:27,1,20,0.05
4G,37,5/13/14 11:27,0,75,0.004
TELEFONE_FIXO,25,8/31/12 11:27,7,11,0.151
4G,33,9/19/14 11:27,0,34,0.007
TELEFONE_MOVEL,25,9/8/14 11:27,1,86,0.004
TELEFONE_MOVEL,46,12/7/10 12:27,4,63,0.05
TELEFONE_MOVEL,20,8/1/15 11:27,1,76,0.001
4G,75,9/13/10 11:27,0,108,0.009
TELEFONE_MOVEL,15,11/19/11 12:27,2,86,0.018
FIBRA,42,12/28/10 12:27,3,53,0.095
FIBRA,32,8/22/11 11:27,8,106,0.092
TELEFONE_FIXO,2,12/31/12 12:27,0,41,0.005
4G,69,5/21/15 11:27,0,32,0.003
TELEFONE_FIXO,52,7/6/10 11:27,4,91,0.019
TELEFONE_MOVEL,46,10/5/11 11:27,0,88,0.006
TELEFONE_FIXO,17,4/18/13 11:27,1,56,0.006
4G,47,7/24/12 11:27,1,80,0.016
TELEFONE_MOVEL,75,5/31/12 11:27,0,10,0.045
TELEFONE_FIXO,37,5/23/12 11:27,3,59,0.015
FIBRA,32,9/12/14 11:27,2,16,0.059
TELEFONE_MOVEL,20,5/8/11 11:27,5,21,0.166
4G,39,7/24/11 11:27,0,12,0.069
TELEFONE_MOVEL,53,3/1/13 12:27,3,79,0.018
4G,21,9/28/14 11:27,0,29,0.008
TELEFONE_MOVEL,43,8/31/10 11:27,1,64,0.021
TELEFONE_FIXO,10,9/9/13 11:27,1,49,0.006
4G,42,11/9/10 12:27,8,89,0.098
TELEFONE_FIXO,34,1/20/12 12:27,0,79,0.003
4G,42,10/18/15 11:27,2,105,0.001
TELEFONE_FIXO,75,12/27/12 12:27,7,24,0.062
TELEFONE_MOVEL,35,7/2/11 11:27,0,100,0.006
FIBRA,37,10/17/14 11:27,1,80,0.007
TELEFONE_MOVEL,15,1/20/15 12:27,1,32,0.007
TELEFONE_FIXO,5,12/24/12 12:27,1,20,0.019
TELEFONE_MOVEL,14,7/19/13 11:27,6,62,0.034
4G,29,9/7/12 11:27,0,33,0.019
FIBRA,37,7/24/11 11:27,2,105,0.032
TELEFONE_MOVEL,44,4/10/14 11:27,0,52,0.004
TELEFONE_FIXO,66,1/13/13 12:27,6,28,0.046
TELEFONE_MOVEL,10,7/4/10 11:27,0,44,0.016
FIBRA,48,9/7/12 11:27,0,65,0.013
FIBRA,36,9/14/12 11:27,9,53,0.155
TELEFONE_FIXO,56,8/6/15 11:27,0,36,0.001
TELEFONE_MOVEL,3,5/12/11 11:27,0,81,0.007
TELEFONE_FIXO,14,7/3/14 11:27,0,64,0.001
4G,16,5/11/14 11:27,2,34,0.027
FIBRA,7,3/30/13 12:27,0,85,0.008
4G,54,8/25/10 11:27,0,40,0.025
TELEFONE_MOVEL,4,6/20/14 11:27,4,67,0.014
FIBRA,26,8/30/11 11:27,7,67,0.129
4G,40,7/19/10 11:27,6,27,0.265
FIBRA,47,9/4/14 11:27,1,69,0.009
TELEFONE_FIXO,13,4/11/13 11:27,2,42,0.012
TELEFONE_MOVEL,35,2/7/12 12:27,1,55,0.018
TELEFONE_MOVEL,45,12/13/10 12:27,0,92,0.007
4G,53,6/4/11 11:27,0,106,0.008
TELEFONE_FIXO,60,2/4/13 12:27,0,23,0.008
FIBRA,57,9/20/15 11:27,0,53,0.001
FIBRA,3,10/15/12 11:27,4,46,0.087
FIBRA,21,2/24/13 12:27,0,76,0.009
TELEFONE_FIXO,69,10/8/13 11:27,9,72,0.019
4G,34,7/10/10 11:27,0,65,0.016
4G,57,1/19/12 12:27,7,63,0.094
TELEFONE_MOVEL,53,10/14/10 11:27,2,85,0.023
4G,59,1/25/12 12:27,1,98,0.015
TELEFONE_MOVEL,65,3/19/11 12:27,0,64,0.009
4G,28,12/17/11 12:27,1,88,0.017
TELEFONE_MOVEL,55,11/21/12 12:27,2,12,0.097
4G,38,6/27/15 11:27,0,50,0.002
FIBRA,73,10/30/14 12:27,1,93,0.006
TELEFONE_FIXO,71,5/11/15 11:27,5,83,0.003
4G,10,3/18/11 12:27,2,57,0.047
4G,16,5/21/15 11:27,0,79,0.001
TELEFONE_MOVEL,3,7/5/13 11:27,0,43,0.007
4G,69,9/4/12 11:27,0,65,0.01
4G,30,1/31/13 12:27,1,97,0.011
4G,47,1/9/14 12:27,0,19,0.019
FIBRA,58,11/3/12 12:27,4,39,0.101
4G,47,7/24/15 11:27,1,26,0.006
4G,42,4/26/14 11:27,0,65,0.005
FIBRA,53,1/2/14 12:27,2,104,0.014
4G,49,9/4/11 11:27,1,67,0.024
4G,66,12/7/15 12:27,0,109,0
FIBRA,37,5/8/11 11:27,0,26,0.045
FIBRA,6,12/16/12 12:27,1,60,0.025
4G,63,8/14/12 11:27,2,92,0.021
TELEFONE_MOVEL,64,1/14/13 12:27,0,108,0.003
FIBRA,45,9/8/14 11:27,1,96,0.007
4G,45,7/15/14 11:27,3,58,0.018
TELEFONE_MOVEL,60,1/16/12 12:27,0,103,0.005
TELEFONE_MOVEL,80,8/31/10 11:27,2,96,0.021
4G,10,7/28/13 11:27,2,39,0.035
TELEFONE_FIXO,2,8/14/10 11:27,7,33,0.082
TELEFONE_MOVEL,39,9/6/13 11:27,2,28,0.031
TELEFONE_MOVEL,60,7/18/13 11:27,1,73,0.008
FIBRA,22,6/2/15 11:27,0,106,0.001
FIBRA,40,1/28/12 12:27,1,104,0.019
TELEFONE_MOVEL,44,4/22/15 11:27,2,97,0.003
TELEFONE_FIXO,3,4/8/15 11:27,3,55,0.003
4G,66,7/8/12 11:27,4,58,0.056
4G,62,7/2/13 11:27,0,93,0.005
TELEFONE_FIXO,77,4/3/11 11:27,1,74,0.008
TELEFONE_MOVEL,30,9/29/15 11:27,0,59,0
TELEFONE_MOVEL,10,4/17/15 11:27,10,13,0.07
TELEFONE_FIXO,64,9/24/15 11:27,0,98,0
4G,10,4/2/12 11:27,0,34,0.021
TELEFONE_MOVEL,72,10/15/15 11:27,1,83,0.001
TELEFONE_MOVEL,53,3/2/13 12:27,0,58,0.006
FIBRA,36,9/17/11 11:27,0,98,0.011
TELEFONE_FIXO,59,3/27/11 11:27,0,39,0.008
TELEFONE_MOVEL,3,8/11/10 11:27,2,100,0.02
4G,46,9/25/14 11:27,9,76,0.03
4G,33,12/23/14 12:27,0,103,0.002
TELEFONE_FIXO,53,8/30/10 11:27,1,52,0.013
TELEFONE_MOVEL,12,1/10/13 12:27,3,60,0.025
FIBRA,26,7/14/11 11:27,1,88,0.025
4G,29,9/15/14 11:27,9,80,0.029
TELEFONE_FIXO,54,9/20/15 11:27,0,51,0
4G,39,5/14/15 11:27,1,57,0.004
TELEFONE_MOVEL,56,1/25/15 12:27,2,54,0.006
FIBRA,24,7/24/14 11:27,1,84,0.008
4G,23,6/28/11 11:27,3,95,0.036
TELEFONE_MOVEL,3,9/3/11 11:27,0,38,0.014
TELEFONE_MOVEL,27,2/27/13 12:27,0,50,0.007
TELEFONE_MOVEL,25,4/12/14 11:27,2,37,0.017
FIBRA,10,3/13/14 12:27,1,65,0.014
TELEFONE_FIXO,9,5/17/15 11:27,0,78,0
FIBRA,64,9/13/11 11:27,0,104,0.01
TELEFONE_FIXO,46,6/4/12 11:27,0,75,0.003
TELEFONE_MOVEL,7,4/28/15 11:27,2,35,0.007
4G,65,1/10/13 12:27,2,64,0.026
4G,68,9/21/11 11:27,0,104,0.008
TELEFONE_FIXO,41,2/22/14 12:27,2,75,0.005
TELEFONE_MOVEL,70,3/30/14 11:27,0,104,0.002
TELEFONE_MOVEL,62,8/13/14 11:27,0,33,0.005
4G,13,4/2/13 11:27,0,57,0.009
TELEFONE_MOVEL,35,10/8/12 11:27,0,30,0.013
4G,49,11/6/12 12:27,1,99,0.012
4G,19,6/30/11 11:27,10,41,0.226
TELEFONE_FIXO,67,3/19/11 12:27,0,70,0.004
4G,73,3/16/12 12:27,0,11,0.064
TELEFONE_FIXO,10,8/24/12 11:27,9,65,0.032
4G,79,9/8/10 11:27,9,84,0.119
TELEFONE_FIXO,18,5/2/13 11:27,2,96,0.005
TELEFONE_MOVEL,27,9/10/11 11:27,0,11,0.049
TELEFONE_MOVEL,51,8/11/15 11:27,0,76,0.001
TELEFONE_MOVEL,71,5/11/15 11:27,0,49,0.002
4G,66,11/8/14 12:27,8,27,0.069
4G,72,12/1/11 12:27,0,103,0.007
FIBRA,68,9/21/14 11:27,1,109,0.006
4G,19,7/8/15 11:27,0,68,0.001
4G,3,6/12/15 11:27,0,110,0.001
TELEFONE_MOVEL,9,12/12/11 12:27,0,66,0.008
FIBRA,12,5/16/12 11:27,0,108,0.008
4G,16,7/17/12 11:27,1,79,0.016
TELEFONE_MOVEL,15,3/12/12 12:27,0,39,0.012
4G,62,10/10/11 11:27,1,83,0.019
TELEFONE_FIXO,71,12/7/10 12:27,0,95,0.003
4G,37,9/15/11 11:27,3,20,0.161
4G,51,1/2/13 12:27,0,102,0.005
FIBRA,69,6/10/12 11:27,7,104,0.068
TELEFONE_MOVEL,58,3/19/14 12:27,1,70,0.006
TELEFONE_MOVEL,46,3/18/14 12:27,7,42,0.042
TELEFONE_MOVEL,56,10/11/10 11:27,10,57,0.126
TELEFONE_FIXO,33,10/9/13 11:27,2,99,0.004
4G,76,11/15/15 12:27,5,51,0.002
TELEFONE_MOVEL,16,3/19/12 12:27,0,55,0.009
FIBRA,59,5/19/11 11:27,2,84,0.041
TELEFONE_FIXO,74,5/11/15 11:27,0,76,0
4G,57,7/29/10 11:27,4,94,0.054
4G,79,12/20/11 12:27,4,70,0.054
TELEFONE_FIXO,12,2/3/15 12:27,0,81,0.001
TELEFONE_FIXO,11,7/13/13 11:27,2,94,0.005
FIBRA,23,10/7/15 11:27,0,70,0.001
FIBRA,80,12/18/11 12:27,0,85,0.012
TELEFONE_MOVEL,74,1/12/13 12:27,8,76,0.044
TELEFONE_MOVEL,26,9/5/15 11:27,1,105,0.001
4G,8,3/6/13 12:27,3,109,0.019
4G,60,9/4/11 11:27,2,18,0.135
4G,68,12/18/12 12:27,1,73,0.015
FIBRA,46,9/1/15 11:27,4,85,0.004
4G,48,5/11/14 11:27,0,88,0.003
4G,63,10/24/12 11:27,3,42,0.057
4G,10,8/5/11 11:27,2,94,0.026
TELEFONE_FIXO,18,3/25/13 12:27,0,37,0.005
4G,67,9/28/12 11:27,2,91,0.02
4G,60,3/18/15 12:27,0,17,0.008
4G,40,8/24/11 11:27,6,56,0.102
TELEFONE_MOVEL,5,7/6/12 11:27,3,106,0.016
TELEFONE_FIXO,50,3/6/15 12:27,4,85,0.003
4G,50,10/14/11 11:27,4,38,0.104
TELEFONE_MOVEL,16,10/20/11 11:27,2,96,0.016
TELEFONE_MOVEL,44,10/23/14 11:27,0,104,0.001
TELEFONE_FIXO,71,9/8/11 11:27,1,35,0.015
TELEFONE_MOVEL,64,11/26/11 12:27,6,66,0.054
4G,61,4/30/11 11:27,0,50,0.018
FIBRA,78,10/8/10 11:27,2,42,0.093
4G,24,5/2/12 11:27,0,100,0.007
FIBRA,63,9/29/10 11:27,1,80,0.033
4G,64,5/14/14 11:27,1,25,0.024
TELEFONE_MOVEL,60,6/19/14 11:27,4,11,0.085
TELEFONE_MOVEL,39,4/21/15 11:27,1,13,0.013
TELEFONE_FIXO,29,6/28/12 11:27,2,42,0.016
TELEFONE_FIXO,43,11/2/15 12:27,0,18,0
TELEFONE_FIXO,63,2/12/14 12:27,0,58,0.002
TELEFONE_MOVEL,43,3/27/11 11:27,1,62,0.019
4G,19,5/15/11 11:27,4,109,0.04
TELEFONE_MOVEL,71,10/20/12 11:27,0,67,0.006
TELEFONE_MOVEL,22,4/26/15 11:27,2,98,0.002
FIBRA,28,11/15/15 12:27,1,73,0.001
4G,46,11/7/14 12:27,2,64,0.01
4G,56,9/28/14 11:27,3,31,0.03
4G,5,10/5/10 11:27,1,11,0.179
TELEFONE_MOVEL,3,9/23/11 11:27,9,84,0.063
TELEFONE_FIXO,3,7/15/12 11:27,0,54,0.004
